Part,Value,Device,Package,Description
BTN,GTN,SCREW-TERMINAL-GREEN(2P-3.5),H2-3.5-7.0X7.0MM,320110028
BUCKCONV,AIC1896CG-SOT23-6,ACT4088-(SOT23-6),SOT-23-6,310030104
C1,100n,CAPC0805,C_0805,
C2,22uF,C-EUC0805K,C0805K,"CAPACITOR, European symbol"
C3,22nF,C-EUC0805K,C0805K,"CAPACITOR, European symbol"
C4,10uF,C-EUC0805K,C0805K,"CAPACITOR, European symbol"
C5,220uF,CAPC1411,1411/3528,CAPACITOR 6.3V/220UF
D1,,SCHOTTKY-DIODESMD,SMB,Schottky Diode
D2,LL4148,LL4148,SOD80_DO213AA_MINIMELF,1N4148 General Purpose Rectifie
F1,,SJ2W,SJ_2,SMD solder JUMPER
F2,,SJ2W,SJ_2,SMD solder JUMPER
L1,4.7uH,L-EUL3225M,L3225M,"INDUCTOR, European symbol"
PINOUT,,PINHD-1X9,1X09,PIN HEADER
POWER,BTN,SCREW-TERMINAL-GREEN(2P-3.5),H2-3.5-7.0X7.0MM,320110028
R1,10K,RESISTORR0805,R_0805,
R2,10K,RESISTORR0805,R_0805,
R3,10K,R-EU_R0805,R0805,"RESISTOR, European symbol"
R4,10K,RESISTORR0805,R_0805,
R5,10K,RESISTORR0805,R_0805,
R6,10K,RESISTORR0805,R_0805,
R7,49.9K,R-EU_R0805,R0805,"RESISTOR, European symbol"
R8,16.2K,R-EU_R0805,R0805,"RESISTOR, European symbol"
R9,10K,R-EU_R0805,R0805,"RESISTOR, European symbol"
R10,10K,R-EU_R0805,R0805,"RESISTOR, European symbol"
RESET,,BUTTON-2PSWITCH-TURTLE-2P,2P-SWITCH-TURTLE,
SW1,FLASH,BUTTON-2PSWITCH-TURTLE-2P,2P-SWITCH-TURTLE,
TP1,TPTP15R,TPTP15R,TP15R,Test pad
TP2,TPTP15R,TPTP15R,TP15R,Test pad
TP3,TPTP15R,TPTP15R,TP15R,Test pad
TP4,TPTP15R,TPTP15R,TP15R,Test pad
U1,,ESP12SMD,ESP12-SMD,ESP8266 Wifi module 12
